pod,namespace,service,window_end,error_rate,log_volume,unique_error_types,cpu_millicores,memory_mi,error_rate_delta,log_volume_delta
target-system-worker-deploy-5b4cc5c5f8-694r6,target-system,worker,2026-04-06T10:36:50Z,0.0,82,0,0.84,32.55,0.0,18
target-system-frontend-deploy-64cdc5f5cd-6bn4b,target-system,frontend,2026-04-06T10:36:50Z,0.0,45,0,1.46,32.84,0.0,-6
target-system-backend-deploy-6b6bc6464-vt7zq,target-system,backend,2026-04-06T10:36:50Z,0.0,95,0,1.42,34.3,0.0,20
target-system-worker-deploy-5b4cc5c5f8-l5cfl,target-system,worker,2026-04-06T10:36:50Z,0.0,64,0,0.79,27.51,0.0,-8
target-system-backend-deploy-6b6bc6464-hfm5j,target-system,backend,2026-04-06T10:36:50Z,0.0,60,0,1.04,34.7,0.0,-10
target-system-loadgen-deploy-668899fc6f-pfhjv,target-system,loadgen,2026-04-06T10:36:50Z,0.0,31,0,1.3,26.69,0.0,2
target-system-frontend-deploy-64cdc5f5cd-8tpws,target-system,frontend,2026-04-06T10:36:50Z,0.0,48,0,0.99,33.16,0.0,12
target-system-worker-deploy-5b4cc5c5f8-694r6,target-system,worker,2026-04-06T10:37:56Z,0.0,68,0,0.78,32.54,0.0,-14
target-system-frontend-deploy-64cdc5f5cd-6bn4b,target-system,frontend,2026-04-06T10:37:56Z,0.0,42,0,1.13,32.86,0.0,-3
target-system-backend-deploy-6b6bc6464-vt7zq,target-system,backend,2026-04-06T10:37:56Z,0.0,75,0,1.15,34.3,0.0,-20
target-system-worker-deploy-5b4cc5c5f8-l5cfl,target-system,worker,2026-04-06T10:37:56Z,0.0,74,0,0.67,27.52,0.0,10
target-system-backend-deploy-6b6bc6464-hfm5j,target-system,backend,2026-04-06T10:37:56Z,0.0,75,0,0.97,34.7,0.0,15
target-system-loadgen-deploy-668899fc6f-pfhjv,target-system,loadgen,2026-04-06T10:37:56Z,0.0,31,0,1.14,26.69,0.0,0
target-system-frontend-deploy-64cdc5f5cd-8tpws,target-system,frontend,2026-04-06T10:37:56Z,0.0,48,0,1.04,33.16,0.0,0
target-system-worker-deploy-5b4cc5c5f8-694r6,target-system,worker,2026-04-06T10:39:03Z,0.0,74,0,1.04,32.54,0.0,6
target-system-frontend-deploy-64cdc5f5cd-6bn4b,target-system,frontend,2026-04-06T10:39:03Z,0.0,51,0,1.39,32.87,0.0,9
target-system-backend-deploy-6b6bc6464-vt7zq,target-system,backend,2026-04-06T10:39:03Z,0.0,55,0,1.21,34.3,0.0,-20
target-system-worker-deploy-5b4cc5c5f8-l5cfl,target-system,worker,2026-04-06T10:39:03Z,0.0,67,0,0.79,27.52,0.0,-7
target-system-backend-deploy-6b6bc6464-hfm5j,target-system,backend,2026-04-06T10:39:03Z,0.0,100,0,1.46,34.7,0.0,25
target-system-loadgen-deploy-668899fc6f-pfhjv,target-system,loadgen,2026-04-06T10:39:03Z,0.0,31,0,1.43,26.69,0.0,0
target-system-frontend-deploy-64cdc5f5cd-8tpws,target-system,frontend,2026-04-06T10:39:03Z,0.0,39,0,1.33,33.19,0.0,-9
target-system-worker-deploy-5b4cc5c5f8-694r6,target-system,worker,2026-04-06T10:40:08Z,0.0,67,0,0.97,32.54,0.0,-7
target-system-frontend-deploy-64cdc5f5cd-6bn4b,target-system,frontend,2026-04-06T10:40:08Z,0.0,57,0,1.74,32.89,0.0,6
target-system-backend-deploy-6b6bc6464-vt7zq,target-system,backend,2026-04-06T10:40:08Z,0.0,75,0,1.01,34.3,0.0,20
target-system-worker-deploy-5b4cc5c5f8-l5cfl,target-system,worker,2026-04-06T10:40:08Z,0.0,76,0,0.83,27.51,0.0,9
target-system-backend-deploy-6b6bc6464-hfm5j,target-system,backend,2026-04-06T10:40:08Z,0.0,80,0,1.55,34.7,0.0,-20
target-system-loadgen-deploy-668899fc6f-pfhjv,target-system,loadgen,2026-04-06T10:40:08Z,0.0,31,0,1.31,26.69,0.0,0
target-system-frontend-deploy-64cdc5f5cd-8tpws,target-system,frontend,2026-04-06T10:40:08Z,0.0,36,0,0.9,33.2,0.0,-3
target-system-worker-deploy-5b4cc5c5f8-694r6,target-system,worker,2026-04-06T10:41:13Z,0.0,80,0,0.76,32.54,0.0,13
target-system-frontend-deploy-64cdc5f5cd-6bn4b,target-system,frontend,2026-04-06T10:41:13Z,0.0,57,0,1.56,32.91,0.0,0
target-system-backend-deploy-6b6bc6464-vt7zq,target-system,backend,2026-04-06T10:41:14Z,0.0,70,0,1.37,34.3,0.0,-5
target-system-worker-deploy-5b4cc5c5f8-l5cfl,target-system,worker,2026-04-06T10:41:14Z,0.0,58,0,0.94,27.51,0.0,-18
target-system-backend-deploy-6b6bc6464-hfm5j,target-system,backend,2026-04-06T10:41:14Z,0.0,80,0,1.17,34.7,0.0,0
target-system-loadgen-deploy-668899fc6f-pfhjv,target-system,loadgen,2026-04-06T10:41:14Z,0.0,30,0,1.38,26.69,0.0,-1
target-system-frontend-deploy-64cdc5f5cd-8tpws,target-system,frontend,2026-04-06T10:41:14Z,0.0,30,0,1.12,33.2,0.0,-6
target-system-worker-deploy-5b4cc5c5f8-694r6,target-system,worker,2026-04-06T10:42:19Z,0.0,62,0,0.94,32.54,0.0,-18
